population,renter_occupied_households,pct_renter_occupied,evictions,rent_burden,pct_white,pct_af_am,pct_hispanic,pct_am_ind,pct_asian,pct_nh_pi,pct_multiple,pct_other,poverty_rate,pct_civilian_labor,pct_unemployment,pct_uninsured_adults,pct_uninsured_children,pct_adult_obesity,pct_adult_smoking,pct_diabetes,pct_excessive_drinking,pct_physical_inactivity,air_pollution_particulate_matter_value,homicides_per_100k,motor_vehicle_crash_deaths_per_100k,heart_disease_mortality_per_100k,pct_female,pct_below_18_years_of_age,pct_aged_65_years_and_older,pct_adults_less_than_a_high_school_diploma,pct_adults_with_high_school_diploma,pct_adults_with_some_college,pct_adults_bachelors_or_higher,birth_rate_per_1k,death_rate_per_1k,gross_rent
41598,4317,24.678,70,27.761,0.958092327,0.003426539,0.015014835,0.003856105,0.005494451,0.000399596,0.013616248,9.99E-05,8.816,0.511,0.068,0.132,0.042,0.295,0.268,0.107,0.21,0.273,10.76116704,,20.98,278,0.506,0.195,0.205,0.08935743,0.426706827,0.338353414,0.145582329,9.171425806,11.30093892,601
10318,889,21.881,6,24.07,0.974036926,0.00287707,0.002281814,0.004355288,0.006260107,0.000803595,0.008601446,0.000783753,9.068,0.484,0.053,0.184,0.082,0.292,0.175,0.103,0.141,0.33,14.07991682,,24.9,316,0.492,0.233,0.166,0.169338677,0.430861723,0.279559118,0.120240481,14.50127376,9.504213208,579
1822,229,32.443,,26.316,0.955634686,0,0.019690055,0.00440343,0,0,0.020271829,0,2.875,0.535,0.02,0.164,0.105,0.305,0.187,0.087,0.204,0.33,10.02736255,,,198,0.5,0.249,0.203,0.083333333,0.239959839,0.449799197,0.226907631,13.72118551,13.72118551,650
21551,3047,26.296,,30.69,0.550851528,0.439452461,0.001200744,0,0.00490304,0,0.003592227,0,18.772,0.429,0.072,0.244,0.074,0.38,0.28,0.145,0.121,0.341,12.30681895,18.03,26.41,396,0.524,0.246,0.157,0.233,0.3,0.31,0.157,13.19505533,13.88953192,615
1174,150,33.51,0,21.996,0.660507095,0,0.339492905,0,0,0,0,0,4.996,0.641,0.027,0.28,0.209,0.296,,0.099,,0.276,10.19029982,,,211,0.469,0.276,0.136,0.206827309,0.259036145,0.287148594,0.246987952,13.38582677,3.937007874,815
1219257,205037,44.571,5232,34.44,0.435519942,0.200214616,0.285559556,0.001394001,0.050986331,0.000300863,0.020859868,0.005164823,13.48,0.545,0.058,0.289,0.128,0.255,0.15,0.09,0.161,0.236,10.86332649,8.31,14.15,229,0.509,0.233,0.103,0.125125125,0.259259259,0.306306306,0.309309309,12.97379545,5.845912682,1129
6009,870,41.88,1,27.681,0.848106358,0.014592007,0.120446912,0.001810173,0,0,0.014742855,0.000301696,10.578,0.515,0.032,0.214,0.083,0.322,0.164,0.118,,0.289,13.34453823,,41.5,257,0.503,0.227,0.184,0.108,0.331,0.419,0.142,13.83741043,13.3432172,558
473493,58843,35.775,,30.826,0.519820404,0.030052382,0.387368421,0.004599651,0.036707408,0.001207284,0.018139187,0.002105263,10.255,0.512,0.057,0.258,0.125,0.252,0.218,0.068,0.188,0.206,13.50809372,3.79,10.6,209,0.499,0.283,0.091,0.17552658,0.286860582,0.313941825,0.223671013,14.81243024,5.640926913,1038
8367,998,29.427,,30.523,0.855743216,0.12145898,0.011140288,0.003948834,0.001193602,0,0.006515079,0,18.856,0.451,0.058,0.271,0.074,0.326,0.266,0.124,,0.344,12.22605891,,17.64,315,0.507,0.21,0.211,0.207377866,0.418743769,0.271186441,0.102691924,12.23168246,14.2702962,492
9947,1033,28.018,25,29.754,0.63225755,0.329699784,0.001195684,0.00544036,0,0,0.031406622,0,15.081,0.463,0.061,0.245,0.089,0.323,0.234,0.129,,0.262,12.71210635,,16.19,247,0.517,0.219,0.18,0.226321037,0.365902293,0.26221336,0.14556331,11.09414758,10.38167939,752
5917,717,21.172,1,23.278,0.65196406,0.001296409,0.270819829,0.036847931,0.008007818,0.00218395,0.019087129,0.009792874,7.335,0.566,0.066,0.222,0.161,0.272,0.171,0.084,0.159,0.238,13.51315174,,43.85,285,0.488,0.268,0.13,0.188,0.377,0.359,0.076,15.63799701,7.985360173,719
11568,1909,36.729,,23.797,0.854519394,0.001005305,0.022375506,0.096121114,0.005782993,0,0.020195686,0,6.361,0.492,0.036,0.152,0.067,0.3,0.237,0.078,0.291,0.259,9.680469324,,15.07,322,0.504,0.217,0.179,0.098294885,0.304914744,0.368104313,0.228686058,13.74184348,12.18616309,609
507601,50676,28.038,1208,28.058,0.690851893,0.034314167,0.221434082,0.003185958,0.024836444,0.000300562,0.024185226,0.000891667,9.464,0.493,0.044,0.257,0.135,0.288,0.134,0.088,0.171,0.21,8.799069554,2.63,17.08,253,0.501,0.271,0.113,0.136863137,0.242757243,0.298701299,0.321678322,13.32827238,6.531384473,1009
11114,1010,19.04,12,28.344,0.861817131,0.02341407,0.08132155,0.007183636,0.005370291,0,0.01807367,0.002819652,7.285,0.487,0.049,0.325,0.181,0.293,,0.117,,0.29,9.875317725,,22.44,303,0.5,0.21,0.226,0.170658683,0.393213573,0.329341317,0.106786427,7.167158086,13.15491041,625
18472,2314,32.743,-1,33.054,0.938727965,0.021107256,0.020957276,0.002579665,0.00099987,0,0.01453811,0.001089858,18.359,0.454,0.06,0.214,0.072,0.293,0.311,0.132,,0.312,13.23084994,,20.48,380,0.508,0.233,0.158,0.187,0.427,0.247,0.139,12.0485168,12.58639701,576
16580,1574,22.061,26,29.059,0.954617931,0.002926573,0.017317241,0.003976103,0.001412828,0,0.017216324,0.002533,13.444,0.447,0.078,0.227,0.072,0.315,0.291,0.124,,0.353,13.42342452,,30.14,341,0.505,0.223,0.181,0.216566866,0.433133733,0.25249501,0.097804391,10.19123554,11.6299982,614
79357,15217,49.667,87,38.904,0.778143114,0.035778533,0.04318409,0.043663802,0.041674995,0.00069958,0.056056366,0.00079952,14.147,0.473,0.038,0.245,0.124,0.307,0.176,0.086,0.149,0.291,10.18935437,,15.29,275,0.486,0.187,0.108,0.086,0.274,0.268,0.372,11.21954583,6.731727497,873
44590,4469,23.687,,32.644,0.907312223,0.051608093,0.020818213,0.002197147,0.002982552,0,0.014783516,0.000298255,12.574,0.474,0.062,0.201,0.065,0.303,0.301,0.099,0.213,0.298,13.43812714,,22.89,279,0.511,0.251,0.125,0.127382146,0.421263791,0.287863591,0.163490471,13.00925874,8.038423215,743
170093,21248,30.129,749,30.449,0.669239031,0.184872111,0.114423804,0.001780103,0.011565695,0.000397788,0.017224233,0.000497235,8.706,0.395,0.057,0.252,0.124,0.216,0.168,0.089,0.192,0.169,12.85058897,3.83,14.45,159,0.511,0.204,0.226,0.078787879,0.234343434,0.298989899,0.387878788,11.8374987,8.700474887,921
709682,60133,25.824,1634,30.573,0.637642304,0.067035473,0.207268762,0.000890338,0.066665333,0.000400152,0.018987215,0.001110422,7.465,0.523,0.063,0.162,0.036,0.25,0.143,0.072,0.188,0.195,12.91845717,1.74,6.4,208,0.507,0.265,0.114,0.106212425,0.211422846,0.248496994,0.433867735,10.99825984,6.207135789,1064
9418,797,22.512,0,29.481,0.576331656,0.37454781,0.025661468,0.001106184,9.97E-05,0,0.022253226,0,14.529,0.396,0.087,0.244,0.103,0.321,,0.137,,0.275,12.86777091,,32.21,381,0.521,0.245,0.169,0.18762475,0.513972056,0.224550898,0.073852295,12.90047444,12.68724346,607
10709,893,19.367,8,26.048,0.96069847,0.007555659,0.021234528,0.00111973,0.001523237,0.00233025,0.005538126,0,8.023,0.523,0.044,0.128,0.06,0.327,0.091,0.09,0.168,0.292,10.22291273,,20.84,289,0.503,0.227,0.21,0.080321285,0.392570281,0.335341365,0.191767068,10.19215485,11.59474496,586
13014,1177,23.29,4,27.759,0.949368599,0.0027543,0.027523118,0.000904842,0.004106592,0,0.015342547,0,10.451,0.478,0.055,0.199,0.094,0.342,0.225,0.122,,0.285,13.33190683,,26.21,328,0.494,0.235,0.175,0.138,0.465,0.284,0.113,10.70837025,10.32317707,599
505892,70872,35.687,3726,28.283,0.691829866,0.089940379,0.135749453,0.006920795,0.042403603,0.000399469,0.031847643,0.000908791,10.936,0.487,0.054,0.199,0.062,0.303,0.188,0.099,0.148,0.247,9.669657532,4.95,13,257,0.502,0.27,0.119,0.111445783,0.267068273,0.328313253,0.293172691,14.68850727,8.230136371,771
56996,3370,15.827,95,37.304,0.817334483,0.055102327,0.098909579,0.00169376,0.011926477,0.000300667,0.012106877,0.002625829,7.169,0.445,0.075,0.151,0.072,0.313,0.201,0.111,0.149,0.267,11.46998,,15.87,207,0.5,0.212,0.185,0.089641434,0.359561753,0.315737052,0.235059761,6.879249665,7.570720637,951
6728,681,36.278,3,24.458,0.668715655,0.047791906,0.229032129,0.034725843,0.001584373,0.006167021,0.011983073,0,14.807,0.39,0.071,0.284,0.256,0.291,0.264,0.086,0.212,0.225,13.62250979,,,247,0.369,0.181,0.136,0.216733871,0.35483871,0.304435484,0.123991935,9.908311151,6.654835847,645
140997,12937,18.834,155,33.648,0.889366455,0.02748387,0.050280722,0.003470387,0.015846106,0,0.013053841,0.000498619,11.268,0.345,0.086,0.263,0.107,0.293,0.237,0.129,0.151,0.264,11.18614523,3.41,24.61,292,0.513,0.152,0.34,0.134596211,0.383848455,0.312063809,0.169491525,7.43729498,17.45428938,700
8950,829,25.487,27,28.164,0.612107556,0.286956262,0.062681329,0.002801567,0.021844249,0,0.013609037,0,9.364,0.447,0.055,0.215,0.099,0.315,0.247,0.119,0.159,0.274,12.27366977,,21.52,287,0.433,0.172,0.186,0.210420842,0.400801603,0.260521042,0.128256513,6.98316157,11.82632201,687
73364,10437,41.672,259,34.299,0.56518563,0.032282598,0.268578005,0.010087061,0.071490043,0.002922045,0.044511158,0.00494346,17.716,0.376,0.113,0.24,0.079,0.308,0.17,0.077,0.195,0.225,8.957201297,4.15,17.95,331,0.492,0.28,0.106,0.191532258,0.25,0.415322581,0.143145161,16.32553109,8.013114843,880
5334,756,29.104,-1,22.682,0.829721673,0.004336,0.041533258,0.09060433,0.005570555,0,0.028234184,0,11.853,0.529,0.026,0.217,0.099,0.296,0.121,0.109,0.161,0.355,13.21770933,,32.09,254,0.518,0.219,0.23,0.096806387,0.313373253,0.345309381,0.244510978,13.71559196,13.52509763,533
1748,169,22.738,-1,32.483,0.965505437,0,0.025332259,0.007440596,0.001721708,0,0,0,1.827,0.522,0.03,0.228,0.163,0.242,0.142,0.091,0.284,0.279,10.46187829,,,204,0.491,0.209,0.25,0.060817547,0.314057827,0.402791625,0.222333001,13.88888889,17.77777778,645
92703,12285,33.443,,29.474,0.911049367,0.006559166,0.053356487,0.002689159,0.011798561,9.92E-05,0.014249566,0.000198462,11.122,0.518,0.071,0.27,0.083,0.31,0.284,0.122,0.11,0.326,13.28742884,2.68,19.09,313,0.505,0.218,0.167,0.175350701,0.376753507,0.284569138,0.163326653,11.018229,10.53963797,727
87477,9865,30.913,900,34.047,0.3769506,0.483999318,0.099612135,0.001092436,0.019723984,0.002194895,0.012547982,0.003878649,13.74,0.48,0.078,0.283,0.108,0.33,0.118,0.136,0.126,0.29,13.05367655,6.84,16.49,247,0.522,0.259,0.119,0.137862138,0.313686314,0.293706294,0.254745255,11.34419529,7.325502624,931
17557,2767,36.262,79,31.018,0.564417544,0.358180029,0.061083117,0,0,0.00029816,0.010256716,0.005764433,30.435,0.322,0.1,0.295,0.099,0.334,0.232,0.144,,0.323,12.43398637,7.16,16.96,321,0.518,0.27,0.148,0.205,0.414,0.271,0.11,12.96726626,11.93447514,522
92858,12200,29.09,108,30.039,0.934215617,0.003065507,0.025079614,0.014831496,0.005129019,0.000297622,0.017281917,9.92E-05,8.735,0.465,0.064,0.284,0.117,0.211,0.168,0.069,0.184,0.201,11.50411835,2.78,26.2,237,0.497,0.228,0.157,0.056943057,0.298701299,0.355644356,0.288711289,12.08291823,8.588035354,767
108758,11787,27.529,,27.002,0.755240617,0.140829672,0.045365188,0.001494453,0.026890133,0.000300897,0.029277246,0.000601793,6.109,0.487,0.054,0.112,0.043,0.281,0.194,0.092,0.187,0.233,12.40099414,2.42,14.25,266,0.496,0.255,0.11,0.092814371,0.306387226,0.296407186,0.304391218,12.64937071,6.851742469,1035
33048,3885,31.311,73,28.438,0.641230898,0.082256181,0.052980926,0.13623524,0.001008115,0.00179664,0.084392187,9.98E-05,20.767,0.422,0.081,0.314,0.111,0.355,0.228,0.122,0.091,0.367,10.59443895,12.06,42.08,382,0.51,0.261,0.164,0.188247012,0.418326693,0.260956175,0.13247012,14.6404045,12.98015244,518
24875,3092,27.717,2,31.694,0.949343472,0.007483007,0.015419835,0.006615704,0.005153392,0,0.014461768,0.001522822,8.045,0.546,0.051,0.108,0.037,0.254,0.178,0.077,0.221,0.18,10.9513492,,16.97,214,0.499,0.213,0.142,0.079717457,0.285570131,0.271442987,0.363269425,10.11932033,8.246847672,903
20287,2466,29.887,87,28.11,0.378313807,0.503588708,0.038036307,0.044783878,0.002898956,0,0.031768563,0.00060978,16.59,0.354,0.09,0.254,0.098,0.345,0.226,0.16,,0.313,11.99075354,9.33,33.75,265,0.488,0.195,0.204,0.220883534,0.34939759,0.275100402,0.154618474,9.549695144,11.45963417,643
85005,5454,19.604,65,28.023,0.727790707,0.053195971,0.167241794,0.00231723,0.023463205,0.001193724,0.023683894,0.001113474,5.245,0.495,0.045,0.21,0.13,0.279,,0.086,,0.286,9.907550249,1.28,9.36,253,0.506,0.285,0.107,0.084168337,0.221442886,0.323647295,0.370741483,11.88219815,6.538107079,983
358569,37911,23.453,639,26.836,0.942829828,0.023145819,0.010465935,0.000805072,0.008402939,0,0.013847238,0.00050317,6.882,0.505,0.057,0.121,0.046,0.283,0.178,0.11,0.162,0.268,13.62918022,0.99,14.08,274,0.516,0.193,0.197,0.074371859,0.386934673,0.272361809,0.266331658,8.754435854,12.45716808,847
10664,1124,30.846,-1,22.636,0.136839135,0.003235039,0.857728821,0,0.002197005,0,0,0,13.802,0.694,0.038,0.347,0.125,0.308,,0.107,,0.272,8.383055982,,33.54,278,0.513,0.289,0.147,0.316683317,0.297702298,0.266733267,0.118881119,17.50866314,8.480758709,739
4307,564,35.448,6,25.941,0.540487339,0.026395061,0.409178124,0.012198395,0.002097687,0,0.003698291,0.005945102,11.335,0.443,0.046,0.282,0.125,0.258,0.084,0.073,,0.279,11.65885322,,32.05,261,0.43,0.186,0.194,0.19798995,0.353768844,0.275376884,0.172864322,9.024644221,10.64445216,559
20679,2417,26.546,61,33.847,0.349473262,0.617256948,0.016905789,0.005608508,0.004514899,0.000100331,0.006140263,0,14.02,0.42,0.079,0.212,0.063,0.353,0.185,0.148,,0.316,11.56940266,5.92,44.66,298,0.505,0.199,0.186,0.245245245,0.402402402,0.251251251,0.101101101,8.316211721,12.03404755,613
4391,546,29.521,2,23.16,0.785912633,0.001094821,0.180277288,0.003194888,0.008141491,0,0.021378878,0,10.613,0.511,0.033,0.258,0.167,0.226,0.116,0.075,0.176,0.211,13.5758859,,,215,0.507,0.244,0.207,0.118118118,0.29029029,0.379379379,0.212212212,14.87924917,11.21666476,699
24393,2798,27.499,89,32.744,0.682381047,0.014961179,0.261646426,0.000597253,0.016573761,0,0.022735417,0.001104917,14.116,0.412,0.055,0.311,0.153,0.276,,0.122,,0.28,8.709001166,9.82,19.65,277,0.504,0.186,0.258,0.158953722,0.307847082,0.338028169,0.195171026,11.96016001,13.47048739,745
19789,3178,41.683,57,34.537,0.538696904,0.021688265,0.403977682,0.011219102,0.005589553,0,0.017228622,0.001599872,20.035,0.411,0.056,0.322,0.096,0.269,0.227,0.07,0.132,0.281,9.174281516,,17.57,279,0.497,0.268,0.118,0.199401795,0.253240279,0.317048853,0.230309073,15.91109989,6.364439955,707
38684,4413,26.25,,29.742,0.921904437,0.028480378,0.030043693,0.002505311,0.005591855,0.000200425,0.010973263,0.000300637,6.572,0.459,0.068,0.141,0.053,0.271,0.139,0.097,0.182,0.218,10.97777553,,12.42,230,0.485,0.186,0.197,0.111776447,0.344311377,0.304391218,0.239520958,7.518991267,9.818614025,707
12575,1643,27.469,15,26.624,0.962045466,0.003104014,0.015748893,0.000298463,0.003671094,0,0.01513207,0,7.851,0.489,0.058,0.152,0.047,0.299,0.276,0.09,0.233,0.28,9.568916473,,24.98,369,0.506,0.221,0.211,0.114,0.36,0.35,0.176,12.09773069,13.28378272,561
14012,1380,24.58,5,30.722,0.953793138,0.001897818,0.012016181,0.001608151,0.000599311,0,0.028597113,0.001488288,16.552,0.396,0.082,0.247,0.093,0.339,0.474,0.117,0.224,0.359,11.8285827,,34.68,386,0.507,0.235,0.193,0.226,0.392,0.271,0.111,13.13957225,12.85392938,507
20548,2028,21.123,,26.046,0.88683924,0.00209669,0.062850288,0.010916899,0.004304262,0,0.032791016,0.000201605,18.05,0.414,0.063,0.318,0.078,0.328,0.283,0.113,0.108,0.33,11.15267377,,32.24,343,0.504,0.231,0.207,0.149700599,0.390219561,0.340319361,0.119760479,11.7203851,12.50831015,486
834407,233439,63.764,673,27.676,0.411731064,0.053146979,0.154253665,0.001816047,0.334985502,0.004023398,0.035307574,0.00473577,7.826,0.627,0.044,0.154,0.058,0.16,0.095,0.069,0.206,0.159,7.853430815,8.37,5.27,179,0.494,0.135,0.141,0.130089374,0.12611718,0.205561072,0.538232373,10.5959387,6.50291412,1233
42521,5960,32.569,165,30.319,0.909358785,0.04099491,0.02855357,0.002559702,0.005288066,9.92E-05,0.012352048,0.000793706,16.154,0.435,0.063,0.22,0.067,0.311,0.262,0.136,0.096,0.311,13.85444618,3.81,26.01,301,0.52,0.235,0.161,0.188059701,0.414925373,0.24079602,0.156218905,13.39959592,11.63465781,604
51632,5989,30.027,72,27.91,0.765099191,0.008320218,0.158094169,0.023136221,0.012971521,0.000601462,0.031075513,0.000701705,11.99,0.446,0.101,0.26,0.159,0.31,0.247,0.096,0.211,0.257,11.18089404,,21.37,287,0.494,0.239,0.182,0.151696607,0.303393214,0.379241517,0.165668663,10.69206843,11.11975117,688
35877,5241,33.527,,25.227,0.888542243,0.008020933,0.079796709,0.002203995,0.0051024,0.000402556,0.015528607,0.000402556,9.693,0.521,0.033,0.147,0.047,0.323,0.163,0.09,0.155,0.27,12.95670874,,11.32,223,0.502,0.248,0.161,0.085,0.316,0.399,0.2,11.51733177,9.871998661,639
32458,2776,22.668,28,32.266,0.930770926,0.01334295,0.029580879,0.005289097,0.003586168,0,0.01742998,0,6.182,0.517,0.047,0.135,0.054,0.309,0.146,0.088,0.144,0.259,8.40349864,,17.07,260,0.502,0.259,0.143,0.054835494,0.327018943,0.386839482,0.231306082,11.215409,8.228696818,844
158964,25355,39.799,151,34.726,0.866044207,0.034760109,0.027559371,0.001905488,0.054807847,0.000401155,0.012826942,0.001694881,6.466,0.486,0.043,0.13,0.066,0.251,0.122,0.072,0.134,0.202,12.91908995,,10.6,215,0.483,0.157,0.119,0.068931069,0.314685315,0.200799201,0.415584416,7.80510508,5.767350006,909
9220,1095,29.992,18,30.436,0.878225242,0.001389028,0.11459978,0,0.004486859,0,0.001299091,0,13.365,0.512,0.045,0.167,0.057,0.314,0.324,0.082,,0.303,9.497958614,,16.04,291,0.497,0.252,0.168,0.113545817,0.447211155,0.301792829,0.137450199,13.10800563,12.56635251,565
10902,1221,25.545,,31.715,0.843331072,0.001705634,0.07518752,0.016228455,0.028686562,0,0.033254868,0.001605889,16.299,0.42,0.051,0.317,0.075,0.294,0.319,0.125,,0.354,10.97910305,,32.36,380,0.495,0.25,0.179,0.226415094,0.396226415,0.261171797,0.116186693,10.40263781,10.95992198,571
67652,9368,31.558,158,30.847,0.888401662,0.046723732,0.026810832,0.000700806,0.007889072,0,0.028672974,0.000800921,16.419,0.463,0.065,0.217,0.071,0.282,0.257,0.095,0.098,0.297,13.31841972,2.06,9.5,289,0.516,0.231,0.174,0.161484453,0.384152457,0.279839519,0.174523571,10.80881266,12.86411356,586
53853,6008,23.764,108,28.404,0.96131697,0.007784265,0.010415426,0.000496445,0.003902061,0,0.015687676,0.000397156,10.562,0.466,0.059,0.143,0.063,0.321,0.26,0.101,0.154,0.29,13.874575,,20.06,254,0.514,0.208,0.188,0.110778443,0.493013972,0.23752495,0.158682635,10.07598897,12.01296283,684
44097,5141,27.516,2,26.232,0.927937905,0.012725131,0.038849906,0.000402694,0.007389435,0,0.009201558,0.003493371,9.101,0.506,0.057,0.194,0.087,0.341,0.27,0.115,0.156,0.309,13.50984095,3.24,21.74,283,0.505,0.238,0.148,0.127872128,0.444555445,0.27972028,0.147852148,11.60737383,9.650316616,744
101781,7002,18.822,263,27.609,0.846955519,0.092403465,0.024861027,0.001382273,0.014558617,9.94E-05,0.018446882,0.001292773,3.984,0.544,0.046,0.119,0.049,0.266,0.168,0.091,0.165,0.226,12.59996694,1.62,10.91,240,0.508,0.235,0.145,0.078528827,0.274353877,0.289264414,0.357852883,8.807317758,8.413254324,1025
8847,1092,28.859,,31.569,0.640255906,0.307076571,0.031958059,0.003344448,0.013066447,0,0.00429857,0,17.645,0.421,0.061,0.248,0.056,0.341,0.349,0.145,,0.348,11.26851959,,31.42,359,0.514,0.237,0.185,0.165829146,0.429145729,0.264321608,0.140703518,9.610983982,14.07322655,561
353513,63626,41.381,960,35.077,0.834416104,0.009405109,0.079958422,0.009485068,0.024787111,0.002098909,0.038350058,0.00149922,11.816,0.47,0.069,0.219,0.071,0.267,0.177,0.086,0.168,0.16,7.936132905,3.08,11.52,203,0.504,0.193,0.161,0.088733799,0.249252243,0.377866401,0.284147557,10.19245255,9.481220966,850
124636,20125,44.955,995,26.956,0.573220709,0.164858068,0.123425617,0.047935391,0.020440677,0.004889731,0.063927215,0.001302592,13.977,0.395,0.047,0.225,0.093,0.346,0.298,0.109,0.178,0.312,9.966007431,6.84,13.71,330,0.484,0.246,0.104,0.105577689,0.333665339,0.352589641,0.208167331,14.93743399,7.968765001,734
