county_code,state,population,renter_occupied_households,pct_renter_occupied,evictions,rent_burden,pct_white,pct_af_am,pct_hispanic,pct_am_ind,pct_asian,pct_nh_pi,pct_multiple,pct_other,poverty_rate,rucc,urban_influence,economic_typology,pct_civilian_labor,pct_unemployment,pct_uninsured_adults,pct_uninsured_children,pct_adult_obesity,pct_adult_smoking,pct_diabetes,pct_low_birthweight,pct_excessive_drinking,pct_physical_inactivity,air_pollution_particulate_matter_value,homicides_per_100k,motor_vehicle_crash_deaths_per_100k,heart_disease_mortality_per_100k,pop_per_dentist,pop_per_primary_care_physician,pct_female,pct_below_18_years_of_age,pct_aged_65_years_and_older,pct_adults_less_than_a_high_school_diploma,pct_adults_with_high_school_diploma,pct_adults_with_some_college,pct_adults_bachelors_or_higher,birth_rate_per_1k,death_rate_per_1k,gross_rent
8cbad48,8036085,29002,3571,30.476,,26.524,0.662232718,0.002481019,0.039895578,0.233454893,0.003587015,0.000298918,0.05804986,0,15.886,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Recreation,0.431,0.056,0.335,0.171,0.273,0.228,0.09,0.089,0.188,0.24,11.26032086,5.05,35.85,220,1640,1309,0.509,0.248,0.183,0.093,0.313,0.352,0.242,12.00747894,9.811825651,687
fd51c7e,a952566,27855,2522,23.569,140,28.168,0.62738451,0.32648988,0.028042445,0.001414158,0.004523298,0,0.010440696,0.001705013,11.669,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.48,0.065,0.182,0.075,0.327,0.279,0.126,0.09,0.179,0.272,12.29545044,5.81,19.62,284,14460,13950,0.51,0.209,0.154,0.181818182,0.398601399,0.266733267,0.152847153,9.723725535,9.262380893,884
5696418,8036085,812,96,36.232,0,18.535,0.891586493,0,0.068693388,0,0.013642167,0,0.026077952,0,15.174,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Farm-dependent,0.504,0.04,0.266,0.185,0.249,,0.088,,,0.299,10.77084241,,,195,,,0.499,0.176,0.249,0.103103103,0.348348348,0.359359359,0.189189189,11.48600144,20.10050251,424
19c6ad8,fb8cab1,4196,385,18.924,,21.502,0.8320803,0.000995788,0.027344333,0.098304173,0.013224062,0.000995788,0.027055555,0,10.232,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Mining-dependent,0.987,0.013,0.164,0.11,0.301,0.127,0.098,,0.221,0.34,9.948254416,,45.37,259,,,0.466,0.203,0.155,0.090818363,0.341317365,0.372255489,0.195608782,14.33102314,5.168565723,665
36c534c,485e9af,20395,2345,40.663,,32.76,0.57123101,0.41018396,0.011690263,0.000905374,0.001482425,0.001094408,0.003412562,0,25.569,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.384,0.085,0.298,0.063,0.352,0.227,0.124,0.149,0.099,0.32,10.24949313,13.34,28.5,353,3120,2980,0.498,0.244,0.151,0.236055777,0.411354582,0.236055777,0.116533865,12.33389619,13.21488878,587
fc9b9ec,c479f0c,21993,1882,18.323,18,23.409,0.976155728,0.005354645,0.009129065,0.002123741,0.00332149,0,0.003915332,0,7.662,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Farm-dependent,0.463,0.067,0.171,0.044,0.299,,0.096,0.06,,0.308,13.04567592,,26.15,262,3730,3170,0.505,0.221,0.199,0.083665339,0.456175299,0.311752988,0.148406375,11.83218173,10.25154676,563
6de96b6,e74aca3,41598,4317,24.678,70,27.761,0.958092327,0.003426539,0.015014835,0.003856105,0.005494451,0.000399596,0.013616248,9.99E-05,8.816,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Manufacturing-dependent,0.511,0.068,0.132,0.042,0.295,0.268,0.107,0.07,0.21,0.273,10.76116704,,20.98,278,2239,1379,0.506,0.195,0.205,0.08935743,0.426706827,0.338353414,0.145582329,9.171425806,11.30093892,601
67eb8f8,09d8cd0,10318,889,21.881,6,24.07,0.974036926,0.00287707,0.002281814,0.004355288,0.006260107,0.000803595,0.008601446,0.000783753,9.068,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Federal/State government-dependent,0.484,0.053,0.184,0.082,0.292,0.175,0.103,0.08,0.141,0.33,14.07991682,,24.9,316,5169,3440,0.492,0.233,0.166,0.169338677,0.430861723,0.279559118,0.120240481,14.50127376,9.504213208,579
0218a4a,fb8cab1,1822,229,32.443,,26.316,0.955634686,0,0.019690055,0.00440343,0,0,0.020271829,0,2.875,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.535,0.02,0.164,0.105,0.305,0.187,0.087,,0.204,0.33,10.02736255,,,198,,,0.5,0.249,0.203,0.083333333,0.239959839,0.449799197,0.226907631,13.72118551,13.72118551,650
349204c,9d0874a,21551,3047,26.296,,30.69,0.550851528,0.439452461,0.001200744,0,0.00490304,0,0.003592227,0,18.772,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Manufacturing-dependent,0.429,0.072,0.244,0.074,0.38,0.28,0.145,0.12,0.121,0.341,12.30681895,18.03,26.41,396,2429,2169,0.524,0.246,0.157,0.233,0.3,0.31,0.157,13.19505533,13.88953192,615
a7f70f8,1b0d913,1174,150,33.51,0,21.996,0.660507095,0,0.339492905,0,0,0,0,0,4.996,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Micropolitan adjacent to a small metro area,Farm-dependent,0.641,0.027,0.28,0.209,0.296,,0.099,,,0.276,10.19029982,,,211,,,0.469,0.276,0.136,0.206827309,0.259036145,0.287148594,0.246987952,13.38582677,3.937007874,815
ce8461a,7572db1,1219257,205037,44.571,5232,34.44,0.435519942,0.200214616,0.285559556,0.001394001,0.050986331,0.000300863,0.020859868,0.005164823,13.48,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Recreation,0.545,0.058,0.289,0.128,0.255,0.15,0.09,0.091,0.161,0.236,10.86332649,8.31,14.15,229,2400,1319,0.509,0.233,0.103,0.125125125,0.259259259,0.306306306,0.309309309,12.97379545,5.845912682,1129
dc0e2be,dc9ae72,6009,870,41.88,1,27.681,0.848106358,0.014592007,0.120446912,0.001810173,0,0,0.014742855,0.000301696,10.578,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Farm-dependent,0.515,0.032,0.214,0.083,0.322,0.164,0.118,0.109,,0.289,13.34453823,,41.5,257,2069,2009,0.503,0.227,0.184,0.108,0.331,0.419,0.142,13.83741043,13.3432172,558
23ef0d8,1dcfd4e,473493,58843,35.775,,30.826,0.519820404,0.030052382,0.387368421,0.004599651,0.036707408,0.001207284,0.018139187,0.002105263,10.255,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.512,0.057,0.258,0.125,0.252,0.218,0.068,0.09,0.188,0.206,13.50809372,3.79,10.6,209,1979,2080,0.499,0.283,0.091,0.17552658,0.286860582,0.313941825,0.223671013,14.81243024,5.640926913,1038
bbb79ce,9e0007d,8367,998,29.427,,30.523,0.855743216,0.12145898,0.011140288,0.003948834,0.001193602,0,0.006515079,0,18.856,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Farm-dependent,0.451,0.058,0.271,0.074,0.326,0.266,0.124,0.09,,0.344,12.22605891,,17.64,315,4289,,0.507,0.21,0.211,0.207377866,0.418743769,0.271186441,0.102691924,12.23168246,14.2702962,492
497e7a8,a952566,9947,1033,28.018,25,29.754,0.63225755,0.329699784,0.001195684,0.00544036,0,0,0.031406622,0,15.081,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Noncore adjacent to a large metro area,Nonspecialized,0.463,0.061,0.245,0.089,0.323,0.234,0.129,0.109,,0.262,12.71210635,,16.19,247,,9960,0.517,0.219,0.18,0.226321037,0.365902293,0.26221336,0.14556331,11.09414758,10.38167939,752
d012d9e,d233cec,5917,717,21.172,1,23.278,0.65196406,0.001296409,0.270819829,0.036847931,0.008007818,0.00218395,0.019087129,0.009792874,7.335,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Mining-dependent,0.566,0.066,0.222,0.161,0.272,0.171,0.084,0.08,0.159,0.238,13.51315174,,43.85,285,5949,5839,0.488,0.268,0.13,0.188,0.377,0.359,0.076,15.63799701,7.985360173,719
e5aed56,fb8cab1,11568,1909,36.729,,23.797,0.854519394,0.001005305,0.022375506,0.096121114,0.005782993,0,0.020195686,0,6.361,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Federal/State government-dependent,0.492,0.036,0.152,0.067,0.3,0.237,0.078,0.081,0.291,0.259,9.680469324,,15.07,322,1329,809,0.504,0.217,0.179,0.098294885,0.304914744,0.368104313,0.228686058,13.74184348,12.18616309,609
f911278,1b0d913,507601,50676,28.038,1208,28.058,0.690851893,0.034314167,0.221434082,0.003185958,0.024836444,0.000300562,0.024185226,0.000891667,9.464,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.493,0.044,0.257,0.135,0.288,0.134,0.088,0.08,0.171,0.21,8.799069554,2.63,17.08,253,2450,1610,0.501,0.271,0.113,0.136863137,0.242757243,0.298701299,0.321678322,13.32827238,6.531384473,1009
3bade44,1b0d913,11114,1010,19.04,12,28.344,0.861817131,0.02341407,0.08132155,0.007183636,0.005370291,0,0.01807367,0.002819652,7.285,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Noncore adjacent to a large metro area,Nonspecialized,0.487,0.049,0.325,0.181,0.293,,0.117,0.09,,0.29,9.875317725,,22.44,303,10999,5520,0.5,0.21,0.226,0.170658683,0.393213573,0.329341317,0.106786427,7.167158086,13.15491041,625
22c55dc,528ea9f,18472,2314,32.743,-1,33.054,0.938727965,0.021107256,0.020957276,0.002579665,0.00099987,0,0.01453811,0.001089858,18.359,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Manufacturing-dependent,0.454,0.06,0.214,0.072,0.293,0.311,0.132,0.099,,0.312,13.23084994,,20.48,380,2690,2080,0.508,0.233,0.158,0.187,0.427,0.247,0.139,12.0485168,12.58639701,576
f596414,9d1e27d,16580,1574,22.061,26,29.059,0.954617931,0.002926573,0.017317241,0.003976103,0.001412828,0,0.017216324,0.002533,13.444,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Recreation,0.447,0.078,0.227,0.072,0.315,0.291,0.124,0.1,,0.353,13.42342452,,30.14,341,2410,1519,0.505,0.223,0.181,0.216566866,0.433133733,0.25249501,0.097804391,10.19123554,11.6299982,614
a580ab0,52acab4,79357,15217,49.667,87,38.904,0.778143114,0.035778533,0.04318409,0.043663802,0.041674995,0.00069958,0.056056366,0.00079952,14.147,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,Federal/State government-dependent,0.473,0.038,0.245,0.124,0.307,0.176,0.086,0.06,0.149,0.291,10.18935437,,15.29,275,2389,1590,0.486,0.187,0.108,0.086,0.274,0.268,0.372,11.21954583,6.731727497,873
9950a46,528ea9f,44590,4469,23.687,,32.644,0.907312223,0.051608093,0.020818213,0.002197147,0.002982552,0,0.014783516,0.000298255,12.574,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a large metro area,Manufacturing-dependent,0.474,0.062,0.201,0.065,0.303,0.301,0.099,0.09,0.213,0.298,13.43812714,,22.89,279,2239,2309,0.511,0.251,0.125,0.127382146,0.421263791,0.287863591,0.163490471,13.00925874,8.038423215,743
308c67c,698ab34,170093,21248,30.129,749,30.449,0.669239031,0.184872111,0.114423804,0.001780103,0.011565695,0.000397788,0.017224233,0.000497235,8.706,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Recreation,0.395,0.057,0.252,0.124,0.216,0.168,0.089,0.09,0.192,0.169,12.85058897,3.83,14.45,159,1130,1549,0.511,0.204,0.226,0.078787879,0.234343434,0.298989899,0.387878788,11.8374987,8.700474887,921
f1dd25a,c479f0c,709682,60133,25.824,1634,30.573,0.637642304,0.067035473,0.207268762,0.000890338,0.066665333,0.000400152,0.018987215,0.001110422,7.465,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.523,0.063,0.162,0.036,0.25,0.143,0.072,0.081,0.188,0.195,12.91845717,1.74,6.4,208,1000,1000,0.507,0.265,0.114,0.106212425,0.211422846,0.248496994,0.433867735,10.99825984,6.207135789,1064
f4b0d22,4522abc,9418,797,22.512,0,29.481,0.576331656,0.37454781,0.025661468,0.001106184,9.97E-05,0,0.022253226,0,14.529,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Mining-dependent,0.396,0.087,0.244,0.103,0.321,,0.137,0.121,,0.275,12.86777091,,32.21,381,9700,9440,0.521,0.245,0.169,0.18762475,0.513972056,0.224550898,0.073852295,12.90047444,12.68724346,607
366f484,e2f94fa,10709,893,19.367,8,26.048,0.96069847,0.007555659,0.021234528,0.00111973,0.001523237,0.00233025,0.005538126,0,8.023,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Farm-dependent,0.523,0.044,0.128,0.06,0.327,0.091,0.09,0.07,0.168,0.292,10.22291273,,20.84,289,5460,2180,0.503,0.227,0.21,0.080321285,0.392570281,0.335341365,0.191767068,10.19215485,11.59474496,586
4ed6b7e,09d8cd0,13014,1177,23.29,4,27.759,0.949368599,0.0027543,0.027523118,0.000904842,0.004106592,0,0.015342547,0,10.451,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Manufacturing-dependent,0.478,0.055,0.199,0.094,0.342,0.225,0.122,0.071,,0.285,13.33190683,,26.21,328,4429,2220,0.494,0.235,0.175,0.138,0.465,0.284,0.113,10.70837025,10.32317707,599
7d6360c,dc9ae72,505892,70872,35.687,3726,28.283,0.691829866,0.089940379,0.135749453,0.006920795,0.042403603,0.000399469,0.031847643,0.000908791,10.936,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Manufacturing-dependent,0.487,0.054,0.199,0.062,0.303,0.188,0.099,0.079,0.148,0.247,9.669657532,4.95,13,257,1839,1199,0.502,0.27,0.119,0.111445783,0.267068273,0.328313253,0.293172691,14.68850727,8.230136371,771
56e2068,1646cf6,56996,3370,15.827,95,37.304,0.817334483,0.055102327,0.098909579,0.00169376,0.011926477,0.000300667,0.012106877,0.002625829,7.169,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Recreation,0.445,0.075,0.151,0.072,0.313,0.201,0.111,0.07,0.149,0.267,11.46998,,15.87,207,5729,2990,0.5,0.212,0.185,0.089641434,0.359561753,0.315737052,0.235059761,6.879249665,7.570720637,951
09d6efe,d233cec,6728,681,36.278,3,24.458,0.668715655,0.047791906,0.229032129,0.034725843,0.001584373,0.006167021,0.011983073,0,14.807,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Mining-dependent,0.39,0.071,0.284,0.256,0.291,0.264,0.086,,0.212,0.225,13.62250979,,,247,4209,,0.369,0.181,0.136,0.216733871,0.35483871,0.304435484,0.123991935,9.908311151,6.654835847,645
3ee4abc,7572db1,140997,12937,18.834,155,33.648,0.889366455,0.02748387,0.050280722,0.003470387,0.015846106,0,0.013053841,0.000498619,11.268,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.345,0.086,0.263,0.107,0.293,0.237,0.129,0.08,0.151,0.264,11.18614523,3.41,24.61,292,3369,1749,0.513,0.152,0.34,0.134596211,0.383848455,0.312063809,0.169491525,7.43729498,17.45428938,700
b2826bc,a952566,8950,829,25.487,27,28.164,0.612107556,0.286956262,0.062681329,0.002801567,0.021844249,0,0.013609037,0,9.364,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Federal/State government-dependent,0.447,0.055,0.215,0.099,0.315,0.247,0.119,0.099,0.159,0.274,12.27366977,,21.52,287,2689,,0.433,0.172,0.186,0.210420842,0.400801603,0.260521042,0.128256513,6.98316157,11.82632201,687
e6167b4,4c72956,73364,10437,41.672,259,34.299,0.56518563,0.032282598,0.268578005,0.010087061,0.071490043,0.002922045,0.044511158,0.00494346,17.716,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Federal/State government-dependent,0.376,0.113,0.24,0.079,0.308,0.17,0.077,0.06,0.195,0.225,8.957201297,4.15,17.95,331,3699,3809,0.492,0.28,0.106,0.191532258,0.25,0.415322581,0.143145161,16.32553109,8.013114843,880
1f4b47e,b795815,5334,756,29.104,-1,22.682,0.829721673,0.004336,0.041533258,0.09060433,0.005570555,0,0.028234184,0,11.853,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.529,0.026,0.217,0.099,0.296,0.121,0.109,,0.161,0.355,13.21770933,,32.09,254,1800,1340,0.518,0.219,0.23,0.096806387,0.313373253,0.345309381,0.244510978,13.71559196,13.52509763,533
8b6c2fe,8036085,1748,169,22.738,-1,32.483,0.965505437,0,0.025332259,0.007440596,0.001721708,0,0,0,1.827,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.522,0.03,0.228,0.163,0.242,0.142,0.091,,0.284,0.279,10.46187829,,,204,1820,1760,0.491,0.209,0.25,0.060817547,0.314057827,0.402791625,0.222333001,13.88888889,17.77777778,645
969111e,9d1e27d,92703,12285,33.443,,29.474,0.911049367,0.006559166,0.053356487,0.002689159,0.011798561,9.92E-05,0.014249566,0.000198462,11.122,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Recreation,0.518,0.071,0.27,0.083,0.31,0.284,0.122,0.09,0.11,0.326,13.28742884,2.68,19.09,313,3589,2340,0.505,0.218,0.167,0.175350701,0.376753507,0.284569138,0.163326653,11.018229,10.53963797,727
1fe2ba2,4522abc,87477,9865,30.913,900,34.047,0.3769506,0.483999318,0.099612135,0.001092436,0.019723984,0.002194895,0.012547982,0.003878649,13.74,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.48,0.078,0.283,0.108,0.33,0.118,0.136,0.1,0.126,0.29,13.05367655,6.84,16.49,247,1460,1260,0.522,0.259,0.119,0.137862138,0.313686314,0.293706294,0.254745255,11.34419529,7.325502624,931
76e40e6,4522abc,17557,2767,36.262,79,31.018,0.564417544,0.358180029,0.061083117,0,0,0.00029816,0.010256716,0.005764433,30.435,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Manufacturing-dependent,0.322,0.1,0.295,0.099,0.334,0.232,0.144,0.159,,0.323,12.43398637,7.16,16.96,321,2969,1469,0.518,0.27,0.148,0.205,0.414,0.271,0.11,12.96726626,11.93447514,522
fb6af6c,8036085,92858,12200,29.09,108,30.039,0.934215617,0.003065507,0.025079614,0.014831496,0.005129019,0.000297622,0.017281917,9.92E-05,8.735,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Recreation,0.465,0.064,0.284,0.117,0.211,0.168,0.069,0.06,0.184,0.201,11.50411835,2.78,26.2,237,1679,1399,0.497,0.228,0.157,0.056943057,0.298701299,0.355644356,0.288711289,12.08291823,8.588035354,767
0eb2b42,b44cfe6,108758,11787,27.529,,27.002,0.755240617,0.140829672,0.045365188,0.001494453,0.026890133,0.000300897,0.029277246,0.000601793,6.109,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Federal/State government-dependent,0.487,0.054,0.112,0.043,0.281,0.194,0.092,0.07,0.187,0.233,12.40099414,2.42,14.25,266,2429,2819,0.496,0.255,0.11,0.092814371,0.306387226,0.296407186,0.304391218,12.64937071,6.851742469,1035
8c44fd2,52acab4,33048,3885,31.311,73,28.438,0.641230898,0.082256181,0.052980926,0.13623524,0.001008115,0.00179664,0.084392187,9.98E-05,20.767,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Nonspecialized,0.422,0.081,0.314,0.111,0.355,0.228,0.122,0.08,0.091,0.367,10.59443895,12.06,42.08,382,3729,2069,0.51,0.261,0.164,0.188247012,0.418326693,0.260956175,0.13247012,14.6404045,12.98015244,518
df2ccc6,2b7da97,24875,3092,27.717,2,31.694,0.949343472,0.007483007,0.015419835,0.006615704,0.005153392,0,0.014461768,0.001522822,8.045,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Recreation,0.546,0.051,0.108,0.037,0.254,0.178,0.077,0.05,0.221,0.18,10.9513492,,16.97,214,2559,980,0.499,0.213,0.142,0.079717457,0.285570131,0.271442987,0.363269425,10.11932033,8.246847672,903
